ManufacturerProvCode,ManufacturingTypeEn,MoisturePercent,FlavourEn,CharacteristicsEn,Organic,CategoryTypeEn,MilkTypeEn,MilkTreatmentTypeEn,RindTypeEn,CheeseName,FatLevel
QC,Artisan,48.0,"Cream and salted butter taste, hints of olive",,1,Soft Cheese,Cow,Raw Milk,Washed Rind,Camplain,lower fat
QC,Artisan,45.0,Clover and hay taste,Copper-colored rind,1,Semi-soft Cheese,Cow,Raw Milk,,Réserve La Pérade,lower fat
QC,Artisan,48.0,"Fruity, yellow, with acidic accent.","Light rind, slightly sticky. Pink with orange tint.",1,Semi-soft Cheese,Cow,Raw Milk,Washed Rind,Baluchon,lower fat
QC,Farmstead,45.0,"Subtle flavor of fruits, butter, nuts and chestnuts","Elastic and melting in the mouth, presence of small irregularly dispersed eyes in the cheese",0,Soft Cheese,Ewe,Raw Milk,Bloomy Rind,Blanche du Fjord (La),higher fat
QC,Artisan,40.0,Slightly salted,Roasting cheese,0,Firm Cheese,Cow,Pasteurized,,Paillasson de l'Isle d'Orléans (Le),lower fat
QC,Industrial,39.0,"Curds : salted, fine herbs, BBQ or sea salt. Blocks: garlic and pepper, yellow, chocolate Grand Marnier with pears, marble, sharp, fine herbs, pesto",Cheese curds or blocks,0,Firm Cheese,Cow,Pasteurized,No Rind,Cheddar frais (Qualité Summum),higher fat
QC,Artisan,37.0,"Available; medium, strong, extra strong, in block, curds, BBQ",,0,Firm Cheese,Cow,Pasteurized,No Rind,Cheddar (Fromagerie Boivin),higher fat
QC,Artisan,47.0,,,0,Firm Cheese,Cow,Pasteurized,No Rind,Petit Saguenéen (Le),lower fat
QC,Artisan,36.0,Plain or BBQ,,0,Firm Cheese,Cow,Pasteurized,No Rind,Tortillons (Les) (Fromagerie Boivin),higher fat
QC,Artisan,39.0,,,0,Firm Cheese,Cow,Pasteurized,No Rind,Cheddar sans sel (Fromagerie Boivin),higher fat
QC,Artisan,50.0,"Taste of butter and cooked cheese, slightly spicy",Roasting cheese,0,Semi-soft Cheese,Cow,Pasteurized,,Annobli,lower fat
QC,Artisan,44.0,,Supple white cheese,0,Semi-soft Cheese,Cow,Pasteurized,No Rind,Monterey Jack (Fromagerie Boivin),lower fat
QC,Farmstead,53.0,"Flavors of butter, cream, hazelnut and mushroom","Chalky texture, soft cheese but not runny",1,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Champayeur (Le),lower fat
QC,Farmstead,42.0,Balanced salty taste,Rind scattered with ochred spots,1,Veined Cheeses,Cow,Raw Milk,,Bleu d'Élizabeth (Le),lower fat
QC,Farmstead,35.0,Almond and hazelnutty taste,Pink-orange-colored rind,0,Semi-soft Cheese,Cow,Raw Milk,Washed Rind,Curé-Hébert (Le),higher fat
QC,Farmstead,35.0,Almond and nutty taste,Surface-ripened,0,Firm Cheese,Cow,Raw Milk,,Cru du Canton (Le),higher fat
QC,Farmstead,41.0,,"Unripened, curds or blocks",0,Firm Cheese,Cow,Pasteurized,No Rind,Cheddar L'Autre Versant,higher fat
QC,Artisan,44.0,Slight goaty taste counterbalanced with cow's milk taste,Firm and cooked,1,Firm Cheese,Cow and Goat,Raw Milk,Washed Rind,Grand 2 (Le),lower fat
QC,Artisan,45.0,Slightly hazelnutty,Amber-colored washed rind,1,Firm Cheese,Cow,Raw Milk,Washed Rind,Grondines (Les),higher fat
QC,Industrial,42.0,Mild,Elastic and smooth texture,0,Firm Cheese,Cow,Pasteurized,No Rind,Cheddar Coaticook non salé,lower fat
QC,Industrial,39.0,"Pungent and lively, slightly salted.  Available white, couloured, aged, curds","Strong aroma, Smooth and supple texture",0,Firm Cheese,Cow,Thermised,No Rind,Cheddar Coaticook,higher fat
QC,Industrial,50.0,Slightly salted milk flavor,Compact,0,Firm Cheese,Cow,Pasteurized,No Rind,Mozzarella (Coaticook),lower fat
QC,Industrial,45.0,Salty,"Firm texture, soaking in brine",0,Firm Cheese,Cow,Pasteurized,No Rind,Saumuré Coaticook,lower fat
QC,Industrial,39.0,Hazelnut and salty flavour. Available mild and strong,Unripened,0,Firm Cheese,Goat,Pasteurized,,Capricook,higher fat
QC,Artisan,63.0,,Creamy spreadable cheese,0,Soft Cheese,Goat,Pasteurized,No Rind,Écume des Rapides (L'),lower fat
QC,Artisan,40.0,Fruity,"Firm cheese, cooked",0,Firm Cheese,Goat,Pasteurized,,Doux du Fort (Le),higher fat
QC,Artisan,45.0,Flavored with Michel Jodoin's apple Brandy,,0,Fresh Cheese,Goat,Pasteurized,No Rind,Pompette (Le),lower fat
QC,Artisan,58.0,,Unripened cheese,0,Soft Cheese,Goat,Pasteurized,No Rind,Amourettes - Tomates séchées et basilic,lower fat
QC,Artisan,58.0,,Unripened cheese,0,Soft Cheese,Goat,Pasteurized,No Rind,Amourettes - Fines herbes,lower fat
QC,Artisan,45.0,Fresh,Preserved in sunflower and olive oil,0,Fresh Cheese,Goat,Pasteurized,No Rind,Dames de Chambly,lower fat
QC,Artisan,39.0,Also seasoned with fine herbs,Cheese curds (41% humidity) or blocks,0,Firm Cheese,Cow,Pasteurized,No Rind,Cheddar frais (Fromagerie Victoria),higher fat
QC,Artisan,39.0,Available plain or with olives,,0,Firm Cheese,Cow,Pasteurized,No Rind,Cheddar médium (Fromagerie Victoria),higher fat
QC,Artisan,39.0,Pronounced,,0,Firm Cheese,Cow,Pasteurized,No Rind,Cheddar fort (Fromagerie Victoria),higher fat
QC,Artisan,45.0,Salty,Twisted cheese,0,Firm Cheese,Cow,Pasteurized,No Rind,Darac,lower fat
QC,Artisan,38.0,Caprine flavor slightly acid and salty,Gouda type cheese with red waxed rind. Ivory-colored cheese with a crumbly texture.,0,Firm Cheese,Goat,Pasteurized,,Athonite,lower fat
QC,Artisan,33.0,Butter and almond aftertaste,Havarti type cheese covered with yellow wax. Ivory-colored cheese with small holes.,0,Firm Cheese,Goat,Pasteurized,,Bon Berger,higher fat
QC,Artisan,60.0,Mild and salted with an almond and buttery aftertaste,Damp and crumbly,0,Semi-soft Cheese,Ewe and Goat,Pasteurized,No Rind,Féta (Troupeau Bénit),lower fat
QC,Artisan,36.0,"Mild, buttery and hazelnut flavour with a hint of fruits and salt",Gruyere type cheese. Ivory-colored cheese with small holes irregularly dispersed.,0,Firm Cheese,Ewe and Goat,Pasteurized,,Graviera,higher fat
QC,Artisan,60.0,"Available plain or seasoned with chives, provençal herbs, mint and peppers or onion","Creamy and white cheese, ball-shaped",0,Fresh Cheese,Goat,Pasteurized,No Rind,Petites Soeurs (Les),lower fat
QC,Artisan,33.0,"Mild, slightly salty and acid with an almond and butter aftertaste. Seasoned with pepper and onions or with garden fine herbs",Havarti-type cheese. Firm and crumbly texture. Ivory-colored. Covered with yellow wax.,0,Firm Cheese,Goat,Pasteurized,No Rind,Symandre,higher fat
QC,Farmstead,70.0,Available plain or seasoned with fine herbs or pepper,"Fresh goat cheese ladle-molded, fine and creamy texture good for spreading",0,Fresh Cheese,Goat,Pasteurized,No Rind,Alpin (L'),lower fat
QC,Farmstead,70.0,"Mild, with fine herbs",,0,Fresh Cheese,Goat,Pasteurized,No Rind,Boules de neige (Les),lower fat
QC,Farmstead,56.0,"Available in 6 different flavors : plain, five peppers, spicy pepper, fresh garlic, Provençal herbs and chives",Lactic cheese,1,Soft Cheese,Goat,Pasteurized,No Rind,Petit Pâturin (Le),lower fat
QC,Farmstead,48.0,"Light butter, hazelnut and mushroom flavour with a caprine aftertaste","White lactic soft cheese, chalky and creamy texture, natural rind (geotrichum)",1,Soft Cheese,Goat,Pasteurized,,Ange Fourchu (L'),lower fat
QC,Farmstead,56.0,,"Soft lactic cheese balls, soaked with a mix of oils and seasonings",1,Soft Cheese,Goat,Pasteurized,No Rind,Grelotins à l'huile aromatisée,lower fat
QC,Farmstead,45.0,Goat flavour,Supple texture,1,Semi-soft Cheese,Goat,Pasteurized,Washed Rind,Chevalier de Lorimier,lower fat
QC,Farmstead,42.0,,Goat's cheese curds,1,Firm Cheese,Goat,Pasteurized,No Rind,Fromage en grains la Chèvrerie Barrousse,lower fat
QC,Artisan,46.0,Spicy without being aggressive,Natural or mixed rind. Rich and creamy texture.,0,Soft Cheese,Ewe and Cow,Pasteurized,Washed Rind,Clandestin (Le),higher fat
QC,Artisan,52.0,Mushroomy,"Washed rind goat cheese, creamy texture",0,Soft Cheese,Goat,Pasteurized,Washed Rind,Sentinelle,lower fat
QC,Artisan,50.0,Very spicy,Cream-colored cheese with a smooth texture,0,Soft Cheese,Cow,Pasteurized,Washed Rind,Magie de Madawaska,lower fat
QC,Artisan,50.0,Buttery,Creamy and supple texture,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Marquis de Témiscouata,higher fat
QC,Artisan,56.0,Very Mild,"Supple and smooth texture, bloomy rind",0,Semi-soft Cheese,Cow,Pasteurized,Bloomy Rind,Dame du Lac (La),lower fat
QC,Artisan,37.0,Acidulous and alcoholic,Light yellowy color,0,Firm Cheese,Cow,,No Rind,Petit Émile (Le),higher fat
QC,Artisan,52.0,Slight mushroom taste,Goat's Brie,0,Soft Cheese,Goat,Pasteurized,Bloomy Rind,Citadelle,lower fat
QC,Farmstead,60.0,Fresh and acidulous,Ladle-molded,1,Fresh Cheese,Goat,Pasteurized,No Rind,Chèvre frais fermier,lower fat
QC,Farmstead,35.0,Fruity and hazelnutty,"Firm cheese, mixed rind",1,Firm Cheese,Goat,Raw Milk,,Tire-Lune,higher fat
QC,Farmstead,46.0,"Creamy taste, slightly goaty","Supple texture, mixed rind",1,Semi-soft Cheese,Goat,Pasteurized,,Galarneau,higher fat
QC,Industrial,54.0,"Fresh buttery, mushrooms and hazelnut notes","Supple and smooth cheese, creamy texture, white bloomy rind.",0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Petit Brie DuVillage,lower fat
QC,Industrial,52.0,"Fruity, mushrooms and hazelnut flavor",Soft cheese with a hint of cream,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Double Crème DuVillage,higher fat
QC,Industrial,48.0,Heated milk and buttery flavor,"Coated with vegetable ash, creamy texture",0,Soft Cheese,Cow,Pasteurized,,Cendré de Lune,higher fat
QC,Industrial,50.0,"Acidulous, pungent hint of honey and flowers","Fine toad-like rind, runny and creamy texture",0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Évanjules (L'),lower fat
QC,Industrial,48.0,"Slightly acidulous when young, develops a buttery and heated milk taste through ripening","Coated with vegetable ash, creamy texture",0,Soft Cheese,Cow,Pasteurized,,Pleine Lune (Le),higher fat
QC,Industrial,45.0,Mild to sharp depending on the age,White to beige-colored,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Fleur de Lys,higher fat
QC,Industrial,45.0,Subtle flowery and brioche aroma,Rich and smooth texture,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Lady Laurier d'Arthabaska,higher fat
QC,Industrial,55.0,"Intense and fruity taste, honey and flowery aftertaste","Orange washed rind, rich and creamy texture",0,Soft Cheese,Cow,Pasteurized,Washed Rind,Maître Jules,lower fat
QC,Industrial,46.0,Nutty and fresh butter taste,"Light beige color, soft and smooth texture",0,Semi-soft Cheese,Cow,Pasteurized,,Saint-Paulin DuVillage,lower fat
QC,Industrial,48.0,Fresh apples and nutty flavor with an acid hint,"Light yellow or copper-colored washed rind, creamy-colored interior with a smooth and supple texture",0,Firm Cheese,Cow,Pasteurized,Washed Rind,Vacherin DuVillage,lower fat
QC,Industrial,40.0,Fruity and slightly nutty flavor,Pressed and uncooked,0,Firm Cheese,Cow,Pasteurized,,Mont Gleason,lower fat
QC,Industrial,46.0,Buttery taste,"Orange washed rind, creamy-colored interior, tender texture",0,Semi-soft Cheese,Cow,Pasteurized,Washed Rind,Raclette DuVillage,lower fat
QC,Industrial,45.0,"Notes of cream, fresh farm milk and a hint of hazelnut",Pressed surface ripened,0,Semi-soft Cheese,Cow,Pasteurized,Washed Rind,Cantonnier,higher fat
QC,Industrial,46.0,Mild and fruity with aroma of hazelnut and hay,"Surface ripened with washed rind, bears a horizontal strip of vegetable carbon",0,Semi-soft Cheese,Cow,Raw Milk,Washed Rind,Cendré (Le),lower fat
QC,Industrial,46.0,Mild and fruity,"Surface ripened, edible orange rind",0,Semi-soft Cheese,Cow,Pasteurized,Washed Rind,Saint-Médard,lower fat
QC,Industrial,40.0,Mild,"Emmental type cheese, no rind",0,Firm Cheese,Cow,Pasteurized,,Kingsberg,lower fat
QC,Industrial,55.0,"Creamy taste, exudes intense and expansive aroma","Surface ripened, washed, shiny rind which is slightly wrinkled",0,Soft Cheese,Cow,Pasteurized,Washed Rind,Sir Laurier d'Arthabaska,lower fat
QC,Industrial,48.0,Butter and cream flavor with a pungent hint,"Bloomy rind, creamy texture",0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Triple Crème Du Village,higher fat
QC,Industrial,55.0,"Creamy flavor, hazelnut and flowery hints","Fully ripened, washed rind cheese",0,Soft Cheese,Cow,Raw Milk,Washed Rind,Petit Rubis (Le),lower fat
QC,Industrial,52.0,Creamy taste,"Brie cheese made with goat's milk, runny interior",0,Soft Cheese,Goat,Pasteurized,Bloomy Rind,Chèbrie,lower fat
QC,Industrial,52.0,Rich and creamy taste,"Goat's soft cheese, ripened",0,Soft Cheese,Goat,Pasteurized,Bloomy Rind,Princeville,lower fat
QC,Industrial,54.0,Rich and creamy taste,"Ivory-colored cheese, surface-ripenend",0,Soft Cheese,Goat,Pasteurized,,Tre Fratello,lower fat
QC,Industrial,54.0,Rich and creamy taste,"Goat soft cheese, surface-ripened",0,Soft Cheese,Goat,Pasteurized,,Castile,lower fat
QC,Industrial,54.0,Rich and creamy taste,"Goat cheese, surface ripenened",0,Soft Cheese,Goat,Pasteurized,,Capella,lower fat
QC,Artisan,42.0,Rich,"Surface-ripened, white mold",1,Soft Cheese,Cow and Goat,Pasteurized,Bloomy Rind,Kunik,higher fat
QC,Farmstead,80.0,Creamy taste,Unctuous and velvety spreadable cheese,1,Fresh Cheese,Cow,Pasteurized,No Rind,Avalanche,lower fat
QC,Farmstead,80.0,Fresh cream taste,,1,Fresh Cheese,Cow,Pasteurized,No Rind,Cottage de la Beurrerie du Patrimoine,lower fat
QC,Farmstead,45.0,Pronounced hazelnut flavor and butter,"Camembert-type cheese,",1,Semi-soft Cheese,Cow and Goat,Thermised,Washed Rind,Canadiane,lower fat
QC,Farmstead,45.0,Mushroomy and buttery,"Munster-type cheese, washed rind",1,Semi-soft Cheese,Cow,Thermised,Washed Rind,Vent d'est,lower fat
QC,Industrial,39.0,Plain or seasoned,Cheese curds or pressed,0,Firm Cheese,Cow,Pasteurized,No Rind,Cheddar frais Côte-de-Beaupré,higher fat
QC,Industrial,45.0,"Goat butter taste, more pronounced taste than the Caprano, without being overly pungent",,0,Firm Cheese,Goat,Pasteurized,No Rind,Caprano vieilli,lower fat
QC,Industrial,50.0,"Acidulous, semi-strong taste","Soft cheese, surface-ripened",0,Soft Cheese,Goat,Pasteurized,,Cendrillon (Le),lower fat
QC,Industrial,50.0,,Double cream Brie,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Rumeur (La),higher fat
QC,Industrial,50.0,Typed and aromatic,"Thin rind, creamy and supple texture",0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Camembert de Portneuf,higher fat
QC,Industrial,50.0,"It has flavous of butter, fresh mushrooms and hazelnuts that become more pronounced with age",It has a bloomy rind with a creamy interior,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Brise du Matin,higher fat
QC,Industrial,50.0,Mild and creamy with a nutty flavour,Double cream,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Brie double crème de Portneuf,higher fat
QC,Industrial,50.0,Slightly fruity,Regular Brie,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Brie de Portneuf,lower fat
QC,Industrial,50.0,,Double cream,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Bonaparte (Le),higher fat
QC,Industrial,55.0,"Delicate and salty (varieties available: plain, herb, pepper)","Soft and creamy body, slightly acidulous",0,Fresh Cheese,Goat,Pasteurized,No Rind,Capriny,lower fat
QC,Industrial,50.0,"Mild, light and delicate. Creamy and nutty taste",Triple cream,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Belle Crème,higher fat
QC,Industrial,45.0,Very mild flavours reminiscent of blue cheese characteristics,Blue-veined,0,Veined Cheeses,Cow,Pasteurized,Bloomy Rind,Bleubry,higher fat
QC,Industrial,50.0,Lightly salted and acidic,"Ripened, white interior",0,Soft Cheese,Goat,Pasteurized,Bloomy Rind,Chèvre D'Art,lower fat
QC,Industrial,55.0,"Mild, slight goat taste available with fig and orange flavour",Smooth,0,Fresh Cheese,Cow and Goat,Pasteurized,No Rind,Chèvre des neiges,lower fat
QC,Industrial,50.0,"Smooth and velvety, with age it bocomes more full-flavoured and gains a mor distinct aroma","Supple, homogeneous, creamy-yellow body",0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Calendos (Le),higher fat
QC,Industrial,45.0,Mild and delicate  taste becoming more pronounced with age,Natural rind,0,Firm Cheese,Goat,Pasteurized,No Rind,Caprano,lower fat
QC,Industrial,50.0,"Sharp to pronounced depending on ripening, lactic and slight hazelnut flavour",,0,Fresh Cheese,Goat,Pasteurized,Bloomy Rind,Paillot de chèvre,lower fat
QC,Industrial,50.0,Mild and  rich,Triple cream,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Saint-Honoré,higher fat
QC,Industrial,50.0,"Taste of butter, nuts and corn",Camembert type,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Campagnard,higher fat
QC,Farmstead,48.0,"Butter, hazelnut and chestnut flavors",,0,Semi-soft Cheese,Goat,Raw Milk,,Tomme du Maréchal,lower fat
QC,Artisan,39.0,Hazelnut flavor,"Cream-colored, blocks or curds",0,Firm Cheese,Cow,Pasteurized,No Rind,Cheddar St-Georges,higher fat
QC,Artisan,43.0,"Mild, slightly lactic and hazelnut flavour","Ivory-colored cheese, smoothand elastic texture, few holes",1,Semi-soft Cheese,Cow,Pasteurized,No Rind,Fontina de l'Abbaye,higher fat
QC,Artisan,43.0,Pronounced and becomes more pungent with age,"When aged, its texture becomes rich and creamy.",0,Veined Cheeses,Goat,Pasteurized,,Chèvre-Noît Bleu de chèvre,lower fat
QC,Artisan,41.0,Pronounced,,0,Veined Cheeses,Ewe,Pasteurized,,Chanoine,higher fat
QC,Artisan,45.0,Creamy with a slight salty taste,"Natural rind, surface ripened",0,Veined Cheeses,Cow,Pasteurized,No Rind,Bleu Bénédictin,lower fat
QC,Artisan,41.0,"Typical taste, very agreable in the mouth, neither too mild or too pronounced","No rind, smooth and unctuous",0,Firm Cheese,Ewe,Pasteurized,No Rind,Memphré (Le),higher fat
QC,Artisan,41.0,"Strong taste typical of certain blue cheeses, with a long finish","Unpressed, uncooked cheese, interior-ripened with Penicilium roqueforti",0,Veined Cheeses,Cow,Pasteurized,,Ermite,higher fat
QC,Artisan,42.0,Mild and hazelnutty,"Pressed cheese, natural rind and interior-ripened, dry texture, big eyes",0,Firm Cheese,Cow,Pasteurized,,Frère Jacques,lower fat
QC,Artisan,42.0,"Sharp, hazelnutty","Cheese with irregular holes, natural rind",0,Firm Cheese,Cow,Pasteurized,,Moine (Le),lower fat
QC,Artisan,43.0,Mild and hazelnut flavour,Interior ripened,0,Semi-soft Cheese,Cow,Pasteurized,No Rind,Mont Saint-Benoît,higher fat
QC,Artisan,55.0,"Fresh, acidulous.",White and damp,0,Fresh Cheese,Goat,Pasteurized,No Rind,Ricotta de chèvre,lower fat
QC,Artisan,65.0,"Fresh, mild, slightly acidulous",White and damp,0,Fresh Cheese,Cow,Pasteurized,No Rind,Ricotta Saint-Benoît,lower fat
QC,Artisan,40.0,Mild and hazelnutty,"Orange-colored, elastic texture",0,Firm Cheese,Cow,Pasteurized,No Rind,Saint-Augustin (Le),lower fat
QC,Artisan,43.0,Mild,"Pressed, with irregular holes, no rind",0,Firm Cheese,Goat,Pasteurized,No Rind,Archange (L'),lower fat
QC,Industrial,76.0,"Delicate and fresh, slightly salty",Whey Ricotta,0,Soft Cheese,Cow,Pasteurized,No Rind,Ricotta Prestigio,lower fat
QC,Industrial,78.0,"Delicate and fresh, slightly salty",Whey Ricotta,0,Soft Cheese,Cow,Pasteurized,No Rind,Ricotta Prestigio léger,lower fat
QC,Industrial,50.0,Creamy taste with a hint of mushroom,Stabilized cheese,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Rondoux double crème,lower fat
QC,Industrial,45.0,Creamy flavor that becomes more pronounced through ripening,Solubilized,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Rondoux triple crème,higher fat
QC,Industrial,56.0,,Lactic cheese,0,Soft Cheese,Goat,Pasteurized,Bloomy Rind,Rondoux pur chèvre,lower fat
QC,Industrial,56.0,Mild,Pactic cheese,0,Soft Cheese,Goat,Pasteurized,Bloomy Rind,Chevrita,lower fat
QC,Industrial,56.0,Mild goat flavour,Lactic cheese,0,Soft Cheese,Goat,Pasteurized,Bloomy Rind,Extra chèvre (L'),lower fat
QC,Industrial,56.0,,Lactic cheese,0,Soft Cheese,Goat,Pasteurized,Bloomy Rind,Doucerel,lower fat
QC,Industrial,50.0,Milk and hazelnut flavors,Stabilized,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Brie Chevalier double crème,lower fat
QC,Industrial,50.0,"Milk and hazelnut flavors, slightly richer than a simple cream",Stabilized,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Brie L'Extra double crème,lower fat
QC,Industrial,55.0,Hazelnut flavor becoming more pronounced with age,Interior-ripened,0,Semi-soft Cheese,Cow,Pasteurized,No Rind,Havarti Danesborg léger,lower fat
QC,Industrial,46.0,Creamy with a salty hint,"Pressed, interior-ripenened, covered with a layer of wax",0,Semi-soft Cheese,Cow,Pasteurized,,Fontina Canadien,lower fat
QC,Industrial,47.0,Mushroom and truffle woody flavor,Washed rind showing a light white duvet,0,Semi-soft Cheese,Cow,Pasteurized,Washed Rind,Oka avec champignons,lower fat
QC,Industrial,42.0,Hazelnut and butter taste,,0,Firm Cheese,Cow,Pasteurized,Washed Rind,Oka l'artisan,lower fat
QC,Industrial,55.0,Slightly salty,"Moist surface, interior-ripened",0,Soft Cheese,Cow,Pasteurized,No Rind,Feta (Danesborg),lower fat
QC,Industrial,57.0,Slightly salty,"Moist surface, interior-ripened",0,Soft Cheese,Cow,Pasteurized,No Rind,Féta léger (Danesborg),lower fat
QC,Industrial,42.0,Slight hazelnut taste,,0,Firm Cheese,Cow,Pasteurized,Washed Rind,Raclette Anco,lower fat
QC,Industrial,50.0,Fruity,"Orange-copper washed rind, stabilized",0,Soft Cheese,Cow,Pasteurized,Washed Rind,Champfleury (Vaudreuil),lower fat
QC,Industrial,55.0,"Salty, slightly pungent and pronounced","Slightly creamy texture, interior-ripened",0,Soft Cheese,Cow,Pasteurized,No Rind,Feta (Anco),lower fat
QC,Industrial,55.0,"Salty, slightly pungent and pronounced",Slightly creamy,0,Soft Cheese,Goat,Pasteurized,No Rind,Féta de chèvre (Anco),lower fat
QC,Industrial,58.0,"Milk, hazelnut and mushroom taste",Stabilized,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Camembert Allégro,lower fat
QC,Industrial,56.0,"Milk, hazelnut and mushroom flavour",Lactic cheese,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Camembert Anco,lower fat
QC,Industrial,57.0,"Rather neutral, mushrooms aroma",Stabilized,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Allégro 17%,lower fat
QC,Industrial,50.0,"Milk and hazelnut flavor, slightly richer than a simple cream cheese",Stabilized,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Brie double crème Anco,lower fat
QC,Industrial,56.0,"Milk, hazelnut and mushroom flavor",,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Grand Camembert l'Extra,lower fat
QC,Industrial,56.0,"Milk, hazelnut and mushroom flavor",Lactic cheese,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Grand Camembert Vaudreuil,lower fat
QC,Industrial,56.0,"Milk, hazelnut and mushroom flavor",Lactic cheese,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Camembert Provençal,lower fat
QC,Industrial,56.0,Mild flavour,"Bloomy rind, lactic cheese",0,Soft Cheese,Cow and Goat,Pasteurized,Bloomy Rind,Vaudreuil 50/50 mixte,lower fat
QC,Industrial,50.0,Rather neutral with a mushroom aroma,,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Brie double crème Provençal,lower fat
QC,Industrial,56.0,"Milk, hazelnut and mushroom flavor",Lactic cheese,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Camembert Gourmet,lower fat
QC,Industrial,50.0,Mostly neutral and mushroom aroma,Stabilized,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Brie Normandie double crème,lower fat
QC,Industrial,50.0,"Fruity notes enlivened by flavours of cream, butter and a hint of whey",,0,Soft Cheese,Cow,Pasteurized,Washed Rind,Providence d'Oka (La),lower fat
QC,Industrial,56.0,"Milk, hazelnut and mushroom flavor",Lactic cheese,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Camembert Vaudreuil,lower fat
QC,Industrial,37.0,"Mild, almond and cream hints","Pressed and uncooked cheese, interior ripened",0,Firm Cheese,Cow,Pasteurized,,Gouda Anco,higher fat
QC,Industrial,50.0,Mild and delicate flavours with fairly pronounced buttery taste,"Pressed rind, interior-ripened",0,Semi-soft Cheese,Cow,Pasteurized,Washed Rind,Saint-Paulin Anco,lower fat
QC,Industrial,54.0,"Sharp, flavours of cream and mushrooms",Lactic cheese,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Brie Notre-Dame,lower fat
QC,Industrial,54.0,"Velvety (varieties available: plain, herb, pepper)",,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Brie Chevalier,lower fat
QC,Industrial,45.0,Mild and rich,,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Brie Chevalier triple crème,higher fat
QC,Industrial,54.0,Rather pronounced milk and hazelnut flavors,Stabilized,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Brie L'Extra,lower fat
QC,Industrial,56.0,"Milk, hazelnut and mushroom flavor",,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Camembert L'Extra,lower fat
QC,Industrial,52.0,"Mild, hint of cream and mushrooms",,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Brie Vaudreuil,lower fat
QC,Industrial,50.0,"Milky, hazelnut, slightly richer than the simple cream",,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Brie Vaudreuil Double Crème,higher fat
QC,Industrial,45.0,Hazelnut flavor becoming more pronounced with age,,0,Semi-soft Cheese,Cow,Pasteurized,No Rind,Havarti Danesborg,higher fat
QC,Industrial,52.0,Mild,,0,Semi-soft Cheese,Cow,Pasteurized,No Rind,Mozzarella (Prestigio),lower fat
QC,Industrial,40.0,Mild,,0,Firm Cheese,Cow,Pasteurized,No Rind,Suisse Grubec,lower fat
QC,Industrial,49.0,Mild,,0,Firm Cheese,Cow,Pasteurized,No Rind,Suisse Grubec léger,lower fat
QC,Industrial,42.0,"Sharp, pungent",,0,Firm Cheese,Cow,Pasteurized,Washed Rind,Raclette d'Oka,lower fat
QC,Industrial,47.0,"Sharp, nutty and fruity","Pressed, surface ripened",0,Semi-soft Cheese,Cow,Pasteurized,Washed Rind,Oka,lower fat
QC,Industrial,45.0,"Sharp and fruity, hazelnutty","Pressed, surface-ripened",0,Semi-soft Cheese,Cow,Thermised,,Oka Classique,higher fat
QC,Industrial,50.0,"Sharp and fruity, hazelnut flavour",,0,Semi-soft Cheese,Cow,Pasteurized,Washed Rind,Oka léger,lower fat
